     t     ,   ref   ,   pj0    ,    vj0    ,    tj0    ,    pj1    ,    vj1    ,    tj1    ,    pj2    ,    vj2    ,    tj2    ,    pj3    ,    vj3    ,    tj3    ,    pj4    ,    vj4    ,    tj4    ,    pj5    ,    vj5    ,    tj5    
   0.06500,    0.00000,    0.00006,    0.00000,   -0.02900,   -1.57083,    0.00000,    0.90965,    0.00006,    0.00000,   -1.44225,   -1.57083,    0.00000,    0.12770,   -0.00006,    0.00000,   -0.08697,    0.00001,    0.00000,   -0.17294
   0.06600,    0.00000,    0.00002,    0.00000,    0.00000,   -1.57082,    0.00000,    0.79228,    0.00004,    0.00000,   -1.34229,   -1.57083,    0.00000,    0.07662,   -0.00005,    0.00000,   -0.08186,   -0.00001,    0.00000,   -0.10681
   0.06700,    0.00000,    0.00002,    0.00000,   -0.05801,   -1.57081,    0.00000,    0.88031,    0.00001,    0.00000,   -1.29945,   -1.57083,    0.00000,    0.08683,   -0.00006,    0.00000,   -0.07674,    0.00000,    0.00000,   -0.14242
   0.06800,    0.00000,    0.00002,    0.00000,   -0.05801,   -1.57080,    0.00000,    0.93900,    0.00005,    0.00000,   -1.35657,   -1.57083,    0.00000,    0.09194,   -0.00001,    0.00000,   -0.07674,    0.00000,    0.00000,   -0.13225
   0.06900,    0.00000,    0.00000,    0.00000,    0.00000,   -1.57081,    0.00000,    0.88031,    0.00002,    0.00000,   -1.37085,   -1.57084,    0.00000,    0.09705,   -0.00002,    0.00000,   -0.06651,    0.00001,    0.00000,   -0.17294
   0.07000,    0.00000,    0.00001,    0.00000,    0.00000,   -1.57078,    0.00000,    0.93900,    0.00000,    0.00000,   -1.37085,   -1.57083,    0.00000,    0.08173,   -0.00008,    0.00000,   -0.07163,   -0.00002,    0.00000,   -0.09664
   0.07100,    0.00000,    0.00002,    0.00000,    0.02900,   -1.57084,    0.00000,    0.79228,    0.00007,    0.00000,   -1.37085,   -1.57081,    0.00000,    0.12259,   -0.00006,    0.00000,   -0.09209,   -0.00004,    0.00000,   -0.11699
   0.07200,    0.00000,    0.00005,    0.00000,    0.00000,   -1.57080,    0.00000,    0.96834,    0.00000,    0.00000,   -1.42797,   -1.57084,    0.00000,    0.12770,   -0.00007,    0.00000,   -0.08697,   -0.00002,    0.00000,   -0.14242
   0.07300,    0.00000,    0.00002,    0.00000,    0.00000,   -1.57084,    0.00000,    0.90965,    0.00004,    0.00000,   -1.24233,   -1.57083,    0.00000,    0.10727,   -0.00005,    0.00000,   -0.08697,    0.00002,    0.00000,   -0.15768
   0.07400,    0.00000,    0.00004,    0.00000,    0.00000,   -1.57078,    0.00000,    0.88031,    0.00004,    0.00000,   -1.71356,   -1.57087,    0.00000,    0.10727,   -0.00006,    0.00000,   -0.08186,    0.00000,    0.00000,   -0.18311
   0.07500,    0.00000,    0.00001,    0.00000,   -0.08701,   -1.57081,    0.00000,    0.90965,    0.00004,    0.00000,   -1.64216,   -1.57081,    0.00000,    0.12770,   -0.00006,    0.00000,   -0.10232,    0.00002,    0.00000,   -0.14242
   0.07600,    0.00000,    0.00005,    0.00000,    0.08701,   -1.57080,    0.00000,    0.90965,    0.00002,    0.00000,   -1.29945,   -1.57084,    0.00000,    0.08173,   -0.00002,    0.00000,   -0.08186,   -0.00001,    0.00000,   -0.15259
   0.07700,    0.00000,    0.00004,    0.00000,   -0.02900,   -1.57081,    0.00000,    0.88031,    0.00004,    0.00000,   -1.54220,   -1.57082,    0.00000,    0.09705,   -0.00002,    0.00000,   -0.10232,   -0.00002,    0.00000,   -0.12716
   0.07800,    0.00000,    0.00000,    0.00000,    0.00000,   -1.57082,    0.00000,    0.88031,    0.00002,    0.00000,   -1.48509,   -1.57084,    0.00000,    0.07662,   -0.00002,    0.00000,   -0.06139,   -0.00002,    0.00000,   -0.14751
   0.07900,    0.00000,    0.00001,    0.00000,    0.00000,   -1.57082,    0.00000,    0.90965,    0.00004,    0.00000,   -1.39941,   -1.57087,    0.00000,    0.09194,   -0.00006,    0.00000,   -0.09209,   -0.00004,    0.00000,   -0.14242
   0.08000,    0.00000,    0.00001,    0.00000,   -0.08701,   -1.57082,    0.00000,    0.88031,    0.00004,    0.00000,   -1.54220,   -1.57083,    0.00000,    0.07662,   -0.00007,    0.00000,   -0.09209,    0.00000,    0.00000,   -0.09155
   0.08100,    0.00000,    0.00006,    0.00000,    0.08701,   -1.57083,    0.00000,    0.82162,    0.00002,    0.00000,   -1.34229,   -1.57087,    0.00000,    0.11748,   -0.00005,    0.00000,   -0.09720,    0.00004,    0.00000,   -0.13225
   0.08200,    0.00000,    0.00002,    0.00000,    0.05801,   -1.57081,    0.00000,    0.88031,    0.00001,    0.00000,   -1.44225,   -1.57083,    0.00000,    0.09705,   -0.00004,    0.00000,   -0.09209,   -0.00001,    0.00000,   -0.12716
   0.08300,    0.00000,    0.00002,    0.00000,   -0.02900,   -1.57080,    0.00000,    0.88031,    0.00005,    0.00000,   -1.31373,   -1.57081,    0.00000,    0.07662,   -0.00002,    0.00000,   -0.10232,   -0.00002,    0.00000,   -0.13733
   0.08400,    0.00000,    0.00005,    0.00000,   -0.05801,   -1.57080,    0.00000,    0.96834,    0.00000,    0.00000,   -1.27089,   -1.57083,    0.00000,    0.11237,   -0.00006,    0.00000,   -0.10744,    0.00000,    0.00000,   -0.17802
   0.08500,    0.00000,    0.00002,    0.00000,    0.00000,   -1.57082,    0.00000,    0.82162,    0.00004,    0.00000,   -1.32801,   -1.57084,    0.00000,    0.09705,   -0.00002,    0.00000,   -0.05628,   -0.00002,    0.00000,   -0.14242
   0.08600,    0.00000,    0.00007,    0.00000,    0.00000,   -1.57082,    0.00000,    0.88031,    0.00004,    0.00000,   -1.39941,   -1.57083,    0.00000,    0.06129,   -0.00006,    0.00000,   -0.07674,    0.00000,    0.00000,   -0.15259
   0.08700,    0.00000,    0.00001,    0.00000,   -0.02900,   -1.57082,    0.00000,    0.85097,    0.00006,    0.00000,   -1.62788,   -1.57084,    0.00000,    0.08683,   -0.00004,    0.00000,   -0.08186,    0.00000,    0.00000,   -0.14751
   0.08800,    0.00000,    0.00002,    0.00000,    0.05801,   -1.57078,    0.00000,    0.85097,    0.00005,    0.00000,   -1.55648,   -1.57083,    0.00000,    0.09705,   -0.00006,    0.00000,   -0.07163,    0.00001,    0.00000,   -0.13733
   0.08900,    0.00000,    0.00004,    0.00000,    0.02900,   -1.57078,    0.00000,    0.90965,    0.00007,    0.00000,   -1.34229,   -1.57082,    0.00000,    0.12259,   -0.00006,    0.00000,   -0.10744,    0.00000,    0.00000,   -0.12716
   0.09000,    0.00000,    0.00001,    0.00000,    0.00000,   -1.57083,    0.00000,    0.96834,    0.00004,    0.00000,   -1.34229,   -1.57086,    0.00000,    0.08683,   -0.00002,    0.00000,   -0.08697,   -0.00002,    0.00000,   -0.14751
   0.09100,    0.00000,    0.00005,    0.00000,   -0.02900,   -1.57081,    0.00000,    0.82162,    0.00007,    0.00000,   -1.38513,   -1.57083,    0.00000,    0.09705,   -0.00005,    0.00000,   -0.09720,   -0.00001,    0.00000,   -0.14751
   0.09200,    0.00000,    0.00002,    0.00000,    0.00000,   -1.57080,    0.00000,    0.76293,    0.00004,    0.00000,   -1.45652,   -1.57084,    0.00000,    0.11237,   -0.00008,    0.00000,   -0.07674,    0.00000,    0.00000,   -0.15768
   0.09300,    0.00000,    0.00004,    0.00000,   -0.02900,   -1.57077,    0.00000,    0.85097,    0.00002,    0.00000,   -1.25661,   -1.57082,    0.00000,    0.11237,   -0.00007,    0.00000,   -0.07163,   -0.00002,    0.00000,   -0.14751
   0.09400,    0.00000,    0.00004,    0.00000,   -0.05801,   -1.57077,    0.00000,    0.88031,    0.00004,    0.00000,   -1.35657,   -1.57083,    0.00000,    0.09705,   -0.00005,    0.00000,   -0.08697,    0.00001,    0.00000,   -0.12716
   0.09500,    0.00000,    0.00002,    0.00000,    0.02900,   -1.57082,    0.00000,    0.96834,    0.00001,    0.00000,   -1.28517,   -1.57084,    0.00000,    0.10216,   -0.00002,    0.00000,   -0.07163,   -0.00002,    0.00000,   -0.14751
   0.09600,    0.00000,    0.00002,    0.00000,    0.08701,   -1.57081,    0.00000,    0.82162,    0.00004,    0.00000,   -1.39941,   -1.57086,    0.00000,    0.10727,   -0.00001,    0.00000,   -0.10744,   -0.00002,    0.00000,   -0.15768
   0.09700,    0.00000,    0.00001,    0.00000,    0.00000,   -1.57081,    0.00000,    0.85097,    0.00005,    0.00000,   -1.39941,   -1.57084,    0.00000,    0.14302,   -0.00001,    0.00000,   -0.06139,    0.00000,    0.00000,   -0.16276
   0.09800,    0.00000,    0.00002,    0.00000,    0.02900,   -1.57080,    0.00000,    0.90965,    0.00004,    0.00000,   -1.48509,   -1.57081,    0.00000,    0.10727,   -0.00001,    0.00000,   -0.09720,   -0.00002,    0.00000,   -0.14242
   0.09900,    0.00000,    0.00004,    0.00000,   -0.05801,   -1.57082,    0.00000,    0.82162,    0.00002,    0.00000,   -1.37085,   -1.57083,    0.00000,    0.13791,   -0.00005,    0.00000,   -0.08697,    0.00000,    0.00000,   -0.14751
   0.10000,    0.00000,    0.00002,    0.00000,   -0.05801,   -1.57080,    0.00000,    0.79228,    0.00005,    0.00000,   -1.34229,   -1.57084,    0.00000,    0.08173,   -0.00005,    0.00000,   -0.10232,   -0.00002,    0.00000,   -0.14242
   0.10100,    0.00000,    0.00001,    0.00000,   -0.11602,   -1.57082,    0.00000,    0.90965,    0.00002,    0.00000,   -1.28517,   -1.57084,    0.00000,    0.08173,   -0.00007,    0.00000,   -0.10744,    0.00001,    0.00000,   -0.12207
   0.10200,    0.00000,    0.00004,    0.00000,    0.08701,   -1.57081,    0.00000,    0.90965,    0.00008,    0.00000,   -1.54220,   -1.57086,    0.00000,    0.09705,   -0.00008,    0.00000,   -0.08697,   -0.00002,    0.00000,   -0.16276
